BRIGADE.NS           "Brigade Enterprises Ltd"                                                                           
BRFL.NS              "Bombay Rayon Fashions Ltd"                                                                         
BHUSANSTL.NS         "Bhushan Steel Ltd"                                                                                 
BHARTISHI.NS         "Bharati Shipyard Ltd"                                                                              
BHARATGEA.NS         "Bharat Gears Ltd"                                                                                  
BGRENERGY.NS         "BGR Energy Systems Ltd"                                                                            
BBL.NS               "Bharat Bijlee Ltd"                                                                                 
BASF.NS              "BASF India Ltd"                                                                                    
BZAFTEK.NS           ""                                                                                                  
PSUBNKBEE.NS         "GOLDMAN SACHS PS PSU BANK BENCH"                                                                   
INDBANK.NS           "Indbank Merchant Banking Services Ltd"                                                             
BLUECOAST.NS         "Blue Coast Hotels Ltd"                                                                             
BLBLIMITED-EQ.NS     "BLB LIMITED"                                                                                       
KOTAKPSUB.NS         "KOTAK PSU BANK"                                                                                    
BANARISUG.NS         "Bannari Amman Sugars Ltd"                                                                          
MANPASAND-EQ.NS      "MANPASAND BEVERAGES LIMITED"                                                                       
BEARDSELL-BT.NS      "BEARDSELL LTD INR10"                                                                               
BLISSGVS.NS          "Bliss GVS Pharma Ltd"                                                                              
VIJSHAN.NS           "Vijay Shanthi Builders Ltd"                                                                        
BALRAMCHI.NS         "Balrampur Chini Mills Ltd"                                                                         
DCBBANK-EQ.NS        "DCB BANK LIMITED"                                                                                  
BYKE.NS              ""                                                                                                  
BZBIRLAPO.NS         ""                                                                                                  
BEARDSELL.NS         "Beardsell Ltd"                                                                                     
GEOJITBNPP-EQ.NS     "GEOJIT BNP PARIBAS FINANCIAL SE"                                                                   
BODHTREE-BE.NS       "BODHTREE CONSULTING LTD INR10"                                                                     
BZFIRSTLE.NS         ""                                                                                                  
BLBLIMITE.NS         "BLB Ltd"                                                                                           
BIL.NS               "Bhartiya International Ltd"                                                                        
BALAJITEL.NS         "Balaji Telefilms Ltd"                                                                              
BZSKUMARS.NS         ""                                                                                                  
HESTERBIO.NS         "Hester Biosciences Ltd"                                                                            
BARTRONIC.NS         "Bartronics India Ltd"                                                                              
BDR-EQ.NS            "BDR BUILDCON LTD INR10"                                                                            
ORIENTBAN.NS         "Oriental Bank of Commerce"                                                                         
KOTAKBANK-IL.NS      "KOTAK MAHINDRA BANK LIMITED"                                                                       
BZTECPRO.NS          ""                                                                                                  
BIRLAMONEY-EQ.NS     "ADITYA BIRLA MONEY LIMITED"                                                                        
BALPHARMA.NS         "Bal Pharma Ltd"                                                                                    
CUB.NS               "City Union Bank Ltd"                                                                               
NBVENTURE.NS         "Nava Bharat Ventures Ltd"                                                                          
BSLGOLDET.NS         "BIRLA SUN LIFE ASS GOLD ETF"                                                                       
BSL.NS               "BSL Ltd"                                                                                           
WELCORP.NS           "Welspun Corp Ltd"                                                                                  
TATACHEM.NS          "Tata Chemicals Ltd"                                                                                
GOACARBON.NS         "Goa Carbon Ltd"                                                                                    
CEREBRAINT-EQ.NS     "CEREBRA INTEGRATED TECHNOLOGIES"                                                                   
JAICORPLT.NS         "Jai Corp Ltd"                                                                                      
IDEA.NS              "Idea Cellular Ltd"                                                                                 
FCEL-EQ.NS           "FUTURE CONSUMER ENTERPRISE LIMI"                                                                   
CESC.NS              "CESC Ltd"                                                                                          
SELMCL.NS            "SEL Manufacturing Co Ltd"                                                                          
HCC.NS               "Hindustan Construction Co Ltd"                                                                     
CONCOR.NS            "Container Corporation of India Ltd"                                                                
CEATLTD.NS           "Ceat Ltd"                                                                                          
BPCL.NS              "Bharat Petroleum Corp Ltd"                                                                         
TIDEWATER.NS         "Tide Water Oil Co India Ltd"                                                                       
PHILIPCAR.NS         "Phillips Carbon Black Ltd"                                                                         
INDIACEM.NS          "India Cements Ltd"                                                                                 
HFCL.NS              "Himachal Futuristic Communications Ltd"                                                            
GUJNRECOK.NS         "Gujarat NRE Coke Ltd"                                                                              
CROMPGREA.NS         "Crompton Greaves Ltd"                                                                              
CHENNPETR.NS         "Chennai Petroleum Corp Ltd"                                                                        
CERA.NS              "Cera Sanitaryware Ltd"                                                                             
CASTROLIND-EQ.NS     "CASTROL INDIA LIMITED"                                                                             
TATACOMM.NS          "Tata Communications Ltd"                                                                           
SUNCLAYLT.NS         "SUNDARAM CLAYTON LIMITED"                                                                          
SRTRANSFIN-EQ.NS     "SHRIRAM TRANSPORT FINANCE COMPA"                                                                   
RECLTD.NS            "Rural Electrification Corp Ltd"                                                                    
ORIENTBANK-EQ.NS     "ORIENTAL BANK OF COMMERCE"                                                                         
ORBITCORP.NS         "Orbit Corp Ltd"                                                                                    
OILCOUNTU.NS         "Oil Country Tubular Ltd"                                                                           
NEYVELILI.NS         "Neyveli Lignite Corp Ltd"                                                                          
NATIONALU.NS         "National Aluminium Company Limited"                                                                
MINDACORP-EQ.NS      "MINDA CORPORATION LIMITED"                                                                         
MAHINDCIE-EQ.NS      "MAHINDRA CIE AUTOMOTIVE LIMITED"                                                                   
JKCEMENT.NS          "JK Cement Ltd"                                                                                     
ITDCEM.NS            "ITD Cementation India Ltd"                                                                         
INDIANCAR.NS         "Indian Card Clothing Co Ltd"                                                                       
HINDCOPPE.NS         "Hindustan Copper Ltd"                                                                              
HINDCOMPO.NS         "Hindustan Composites Ltd"                                                                          
GREENPOWER-EQ.NS     "ORIENT GREEN POWER COMPANY LIMI"                                                                   
GODREJCP.NS          "Godrej Consumer Products Ltd"                                                                      
GESHIP.NS            "Great Eastern Shipping Co Ltd"                                                                     
FINCABLES.NS         "Finolex Cables Ltd"                                                                                
ELGIRUBCO.NS         "Elgi Rubber Co Ltd"                                                                                
DBCORP.NS            "D B Corp Ltd"                                                                                      
CYIENT.NS            "Cyient Limited"                                                                                    
ELITE-IT.NS          "Elite Conductors Limited"                                                                          
GMDCLTD.NS           "Gujarat Mineral Development Corp Ltd"                                                              
NEOCORP-BE.NS        "Neo Corp International Limited"                                                                    
ELECTCAST.NS         "Electrosteel Castings Ltd"                                                                         
CHROMATIC.NS         "Chromatic India Ltd"                                                                               
BVCL.NS              "Barak Valley Cements Ltd"                                                                          
CURATECH.NS          ""                                                                                                  
FCL.NS               "Fineotex Chemical Limited"                                                                         
NBCC.NS              "National Buildings Construction Corp Ltd"                                                          
SHREEASHT.NS         "Shree Ashtavinayak Cine Vision Ltd"                                                                
VETO.NS              "Veto Switchgears And Cables Ltd"                                                                   
GOCLCORP-EQ.NS       "GOCL CORPORATION LIMITED"                                                                          
JEYPORE.NS           "Jeypore Sugar Co Ltd"                                                                              
CRESTANI-BZ.NS       "CREST ANIMATION STUDIOS L"                                                                         
CCCL.NS              "Consolidated Construction Consortium Ltd"                                                          
MAHINDUGI.NS         "Mahindra Ugine Steel Co Ltd"                                                                       
CANFINHOME-EQ.NS     "CAN FIN HOMES LIMITED"                                                                             
RFXXII29GR-MF.NS     "RELIANCE CAPITAL A FHF XXI SER "                                                                   
COMPUAGE.NS          "Compuage Infocom Ltd"                                                                              
CORDSCABL.NS         "Cords Cable Industries Ltd"                                                                        
PARACABLES-EQ.NS     "PARAMOUNT COMMUNICATIONS LIMITE"                                                                   
TALBROAUT.NS         "Talbros Automotive Components Ltd"                                                                 
LPDC.NS              "Landmark Property Development Co Ltd"                                                              
SRICHAMUND-EQ.NS     "Chamundeswari Sug Ltd"                                                                             
GANESHHOU.NS         "Ganesh Housing Corp Ltd"                                                                           
PKTEA-BE.NS          "The P K Tea Prod Co Ltd"                                                                           
PNC.NS               "Pritish Nandy Communications Ltd"                                                                  
TIRUMALCH.NS         "Thirumalai Chemicals Ltd"                                                                          
CELEBRITY.NS         "Celebrity Fashions Ltd"                                                                            
CENTENKA.NS          "Century Enka Ltd"                                                                                  
SOMANYCERA-EQ.NS     "SOMANY CERAMICS LIMITED"                                                                           
CIGNITITEC-EQ.NS     "CIGNITI TECHNOLOGIES LIMITED"                                                                      
SAMTEL.NS            "Samtel Color Ltd"                                                                                  
CIGNITITE.NS         ""                                                                                                  
GUJRATGAS.NS         "Gujarat Gas Co Ltd"                                                                                
